event,gender,ageGroup,minutes,seconds,decimals
50 MTS FREE,Femenino,25-29,00,25,37
100 MTS FREE,Femenino,25-29,00,56,96
200 MTS FREE,Femenino,25-29,02,02,06
400 MTS FREE,Femenino,25-29,04,16,61
800 MTS FREE,Femenino,25-29,08,45,89
1500 MTS FREE,Femenino,25-29,16,34,90
50 MTS BACK,Femenino,25-29,00,28,39
100 MTS BACK,Femenino,25-29,01,01,60
200 MTS BACK,Femenino,25-29,02,13,19
50 MTS BRST,Femenino,25-29,00,31,6
100 MTS BRST,Femenino,25-29,01,10,56
200 MTS BRST,Femenino,25-29,02,32,35
50 MTS FLY,Femenino,25-29,00,26,32
100 MTS FLY,Femenino,25-29,00,59,99
200 MTS FLY,Femenino,25-29,02,15,02
200 MTS IM,Femenino,25-29,02,20,71
400 MTS IM,Femenino,25-29,05,02,78
50 MTS FREE,Femenino,30-34,00,25,49
100 MTS FREE,Femenino,30-34,00,55,24
200 MTS FREE,Femenino,30-34,02,02,35
400 MTS FREE,Femenino,30-34,04,18,63
800 MTS FREE,Femenino,30-34,08,46,47
1500 MTS FREE,Femenino,30-34,17,20,60
50 MTS BACK,Femenino,30-34,00,28,57
100 MTS BACK,Femenino,30-34,01,01,78
200 MTS BACK,Femenino,30-34,02,17,61
50 MTS BRST,Femenino,30-34,00,32,22
100 MTS BRST,Femenino,30-34,01,10,10
200 MTS BRST,Femenino,30-34,02,28,93
50 MTS FLY,Femenino,30-34,00,26,8
100 MTS FLY,Femenino,30-34,00,58,81
200 MTS FLY,Femenino,30-34,02,13,60
200 MTS IM,Femenino,30-34,02,13,89
400 MTS IM,Femenino,30-34,04,56,08
50 MTS FREE,Femenino,35-39,00,25,58
100 MTS FREE,Femenino,35-39,00,57,38
200 MTS FREE,Femenino,35-39,02,05,50
400 MTS FREE,Femenino,35-39,04,26,17
800 MTS FREE,Femenino,35-39,09,08,47
1500 MTS FREE,Femenino,35-39,17,17,20
50 MTS BACK,Femenino,35-39,00,28,63
100 MTS BACK,Femenino,35-39,01,01,75
200 MTS BACK,Femenino,35-39,02,18,20
50 MTS BRST,Femenino,35-39,00,31,35
100 MTS BRST,Femenino,35-39,01,10,47
200 MTS BRST,Femenino,35-39,02,35,40
50 MTS FLY,Femenino,35-39,00,27,46
100 MTS FLY,Femenino,35-39,01,02,04
200 MTS FLY,Femenino,35-39,02,20,21
200 MTS IM,Femenino,35-39,02,21,09
400 MTS IM,Femenino,35-39,04,59,59
50 MTS FREE,Femenino,40-44,00,26,44
100 MTS FREE,Femenino,40-44,00,58,04
200 MTS FREE,Femenino,40-44,02,08,42
400 MTS FREE,Femenino,40-44,04,22,87
800 MTS FREE,Femenino,40-44,08,59,06
1500 MTS FREE,Femenino,40-44,17,29,40
50 MTS BACK,Femenino,40-44,00,29,62
100 MTS BACK,Femenino,40-44,01,04,70
200 MTS BACK,Femenino,40-44,02,20,72
50 MTS BRST,Femenino,40-44,00,32,42
100 MTS BRST,Femenino,40-44,01,12,29
200 MTS BRST,Femenino,40-44,02,38,44
50 MTS FLY,Femenino,40-44,00,28,31
100 MTS FLY,Femenino,40-44,01,03,36
200 MTS FLY,Femenino,40-44,02,24,78
200 MTS IM,Femenino,40-44,02,20,73
400 MTS IM,Femenino,40-44,04,58,01
50 MTS FREE,Femenino,45-49,00,26,59
100 MTS FREE,Femenino,45-49,00,57,4
200 MTS FREE,Femenino,45-49,02,10,09
400 MTS FREE,Femenino,45-49,04,30,64
800 MTS FREE,Femenino,45-49,09,11,47
1500 MTS FREE,Femenino,45-49,17,27,10
50 MTS BACK,Femenino,45-49,00,31,02
100 MTS BACK,Femenino,45-49,01,07,04
200 MTS BACK,Femenino,45-49,02,24,06
50 MTS BRST,Femenino,45-49,00,33,56
100 MTS BRST,Femenino,45-49,01,12,34
200 MTS BRST,Femenino,45-49,02,39,95
50 MTS FLY,Femenino,45-49,00,28,4
100 MTS FLY,Femenino,45-49,01,04,96
200 MTS FLY,Femenino,45-49,02,24,34
200 MTS IM,Femenino,45-49,02,21,37
400 MTS IM,Femenino,45-49,05,13,85
50 MTS FREE,Femenino,50-54,00,27,09
100 MTS FREE,Femenino,50-54,01,00,40
200 MTS FREE,Femenino,50-54,02,11,40
400 MTS FREE,Femenino,50-54,04,40,66
800 MTS FREE,Femenino,50-54,09,34,12
1500 MTS FREE,Femenino,50-54,18,15,80
50 MTS BACK,Femenino,50-54,00,31,59
100 MTS BACK,Femenino,50-54,01,07,87
200 MTS BACK,Femenino,50-54,02,26,14
50 MTS BRST,Femenino,50-54,00,34,18
100 MTS BRST,Femenino,50-54,01,15,44
200 MTS BRST,Femenino,50-54,02,44,66
50 MTS FLY,Femenino,50-54,00,29,08
100 MTS FLY,Femenino,50-54,01,07,80
200 MTS FLY,Femenino,50-54,02,30,66
200 MTS IM,Femenino,50-54,02,31,02
400 MTS IM,Femenino,50-54,05,20,68
50 MTS FREE,Femenino,55-59,00,27,94
100 MTS FREE,Femenino,55-59,01,01,87
200 MTS FREE,Femenino,55-59,02,16,28
400 MTS FREE,Femenino,55-59,04,43,41
800 MTS FREE,Femenino,55-59,09,44,76
1500 MTS FREE,Femenino,55-59,18,36,30
50 MTS BACK,Femenino,55-59,00,31,99
100 MTS BACK,Femenino,55-59,01,09,69
200 MTS BACK,Femenino,55-59,02,31,79
50 MTS BRST,Femenino,55-59,00,35,59
100 MTS BRST,Femenino,55-59,01,19,90
200 MTS BRST,Femenino,55-59,02,57,29
50 MTS FLY,Femenino,55-59,00,30,37
100 MTS FLY,Femenino,55-59,01,07,55
200 MTS FLY,Femenino,55-59,02,36,33
