event,gender,ageGroup,minutes,seconds,decimals
50 MTS FREE,Femenino,25-29,00,24,01
100 MTS FREE,Femenino,25-29,00,52,46
200 MTS FREE,Femenino,25-29,01,58,0
400 MTS FREE,Femenino,25-29,04,13,7
800 MTS FREE,Femenino,25-29,08,51,2
1500 MTS FREE,Femenino,25-29,16,36,1
50 MTS BACK,Femenino,25-29,00,27,88
100 MTS BACK,Femenino,25-29,01,00,6
200 MTS BACK,Femenino,25-29,02,10,4
50 MTS BRST,Femenino,25-29,00,30,5
100 MTS BRST,Femenino,25-29,01,06,8
200 MTS BRST,Femenino,25-29,02,28,3
50  MTS FLY,Femenino,25-29,00,26,14
100 MTS FLY,Femenino,25-29,00,58,11
200 MTS FLY,Femenino,25-29,02,09,6
100 MTS IM,Femenino,25-29,01,01,8
200 MTS IM,Femenino,25-29,02,17,2
400 MTS IM,Femenino,25-29,04,45,0
50 MTS FREE,Femenino,30-34,00,24,3
100 MTS FREE,Femenino,30-34,00,54,75
200 MTS FREE,Femenino,30-34,02,00,7
400 MTS FREE,Femenino,30-34,04,14,6
800 MTS FREE,Femenino,30-34,08,38,6
1500 MTS FREE,Femenino,30-34,16,26,9
50 MTS BACK,Femenino,30-34,00,27,43
100 MTS BACK,Femenino,30-34,01,00,9
200 MTS BACK,Femenino,30-34,02,11,9
50 MTS BRST,Femenino,30-34,00,31,35
100 MTS BRST,Femenino,30-34,01,07,0
200 MTS BRST,Femenino,30-34,02,27,0
50  MTS FLY,Femenino,30-34,00,26,67
100 MTS FLY,Femenino,30-34,00,59,82
200 MTS FLY,Femenino,30-34,02,13,1
100 MTS IM,Femenino,30-34,01,02,1
200 MTS IM,Femenino,30-34,02,13,4
400 MTS IM,Femenino,30-34,04,45,1
50 MTS FREE,Femenino,35-39,00,25,1
100 MTS FREE,Femenino,35-39,00,54,95
200 MTS FREE,Femenino,35-39,02,02,9
400 MTS FREE,Femenino,35-39,04,20,0
800 MTS FREE,Femenino,35-39,08,50,8
1500 MTS FREE,Femenino,35-39,16,52,9
50 MTS BACK,Femenino,35-39,00,27,63
100 MTS BACK,Femenino,35-39,01,00,4
200 MTS BACK,Femenino,35-39,02,13,4
50 MTS BRST,Femenino,35-39,00,30,96
100 MTS BRST,Femenino,35-39,01,08,5
200 MTS BRST,Femenino,35-39,02,30,6
50  MTS FLY,Femenino,35-39,00,27,29
100 MTS FLY,Femenino,35-39,01,00,2
200 MTS FLY,Femenino,35-39,02,14,5
100 MTS IM,Femenino,35-39,01,02,8
200 MTS IM,Femenino,35-39,02,17,7
400 MTS IM,Femenino,35-39,04,52,8
50 MTS FREE,Femenino,40-44,00,26,02
100 MTS FREE,Femenino,40-44,00,57,08
200 MTS FREE,Femenino,40-44,02,05,1
400 MTS FREE,Femenino,40-44,04,21,7
800 MTS FREE,Femenino,40-44,08,55,3
1500 MTS FREE,Femenino,40-44,16,50,9
50 MTS BACK,Femenino,40-44,00,28,86
100 MTS BACK,Femenino,40-44,01,03,2
200 MTS BACK,Femenino,40-44,02,17,3
50 MTS BRST,Femenino,40-44,00,31,81
100 MTS BRST,Femenino,40-44,01,10,0
200 MTS BRST,Femenino,40-44,02,32,2
50  MTS FLY,Femenino,40-44,00,28,19
100 MTS FLY,Femenino,40-44,01,01,7
200 MTS FLY,Femenino,40-44,02,20,7
100 MTS IM,Femenino,40-44,01,04,2
200 MTS IM,Femenino,40-44,02,19,2
400 MTS IM,Femenino,40-44,05,00,8
50 MTS FREE,Femenino,45-49,00,26,29
100 MTS FREE,Femenino,45-49,00,57,53
200 MTS FREE,Femenino,45-49,02,05,9
400 MTS FREE,Femenino,45-49,04,24,9
800 MTS FREE,Femenino,45-49,09,01,1
1500 MTS FREE,Femenino,45-49,17,01,3
50 MTS BACK,Femenino,45-49,00,29,52
100 MTS BACK,Femenino,45-49,01,04,1
200 MTS BACK,Femenino,45-49,02,18,1
50 MTS BRST,Femenino,45-49,00,32,59
100 MTS BRST,Femenino,45-49,01,10,6
200 MTS BRST,Femenino,45-49,02,34,8
50  MTS FLY,Femenino,45-49,00,28,28
100 MTS FLY,Femenino,45-49,01,03,5
200 MTS FLY,Femenino,45-49,02,23,2
100 MTS IM,Femenino,45-49,01,05,6
200 MTS IM,Femenino,45-49,02,19,3
400 MTS IM,Femenino,45-49,05,00,3
50 MTS FREE,Femenino,50-54,00,26,27
100 MTS FREE,Femenino,50-54,00,58,12
200 MTS FREE,Femenino,50-54,02,10,7
400 MTS FREE,Femenino,50-54,04,33,9
800 MTS FREE,Femenino,50-54,09,23,3
1500 MTS FREE,Femenino,50-54,17,47,0
50 MTS BACK,Femenino,50-54,00,30,27
100 MTS BACK,Femenino,50-54,01,05,9
200 MTS BACK,Femenino,50-54,02,22,4
50 MTS BRST,Femenino,50-54,00,33,96
100 MTS BRST,Femenino,50-54,01,14,0
200 MTS BRST,Femenino,50-54,02,41,4
50  MTS FLY,Femenino,50-54,00,28,95
100 MTS FLY,Femenino,50-54,01,03,5
200 MTS FLY,Femenino,50-54,02,28,1
100 MTS IM,Femenino,50-54,01,07,0
